x,y,z
-3462,-487,1327
-3902,-215,943
-4094,-31,527
-3974,-39,47
-3886,95,-415
-3838,351,-871
-3694,527,-1279
-3478,647,-1599
-3190,831,-1775
-2927,1015,-1847
-2679,1087,-1727
-2479,1175,-1519
-2303,1207,-1279
-2063,1199,-1151
-1887,1247,-999
-1775,1207,-871
-1727,1167,-767
-1695,1111,-647
-1671,975,-607
-1671,847,-519
-1671,711,-479
-1695,559,-407
-1767,471,-343
-1791,407,-295
-1887,383,-239
-1943,431,-247
-1975,431,-263
-2015,479,-375
-2047,551,-415
-2103,615,-487
-2087,743,-535
-1999,871,-647
-1919,1071,-663
-1775,1247,-687
-1639,1447,-743
-1471,1599,-719
-1287,1759,-767
-1151,1879,-775
-1015,2039,-791
-903,1999,-807
-887,1959,-831
-831,1799,-831
-855,1655,-799
-871,1543,-791
-927,1375,-719
-967,1239,-735
-991,1143,-703
-975,1039,-663
-991,919,-631
-975,887,-591
-943,815,-551
-911,775,-583
-911,735,-527
-871,711,-527
-847,711,-519
-839,663,-495
-751,671,-463
-751,647,-455
-695,631,-423
-671,599,-439
-647,559,-447
-663,527,-407
-615,495,-407
-631,463,-423
-591,447,-383
-607,423,-391
-575,455,-415
-511,463,-367
-495,479,-399
-439,511,-407
-415,551,-407
-327,591,-439
-279,647,-407
-231,711,-375
-159,703,-375
-119,751,-367
-63,711,-415
-63,695,-399
-111,639,-407
-127,599,-383
-143,575,-383
-159,511,-399
-183,479,-319
-175,415,-311
-223,367,-207
-263,263,-159
-335,151,-103
-463,23,-87
-599,-71,-111
-823,-215,-23
-1071,-343,-127
-1311,-511,-255
-1695,-615,-351
-1919,-671,-511
-2215,-743,-631
-2551,-799,-815
-2807,-751,-967
-3094,-767,-1151
-3294,-663,-1383
-3518,-567,-1567
-3670,-447,-1791
-3862,-367,-1951
-3934,-231,-2135
-4014,-119,-2247
-4102,-39,-2399
-4166,-23,-2391
-4158,15,-2495
-4142,7,-2527
-4150,-31,-2527
-4118,-47,-2391
-4094,-159,-2303
-4022,-199,-2183
-3990,-287,-2047
-3878,-399,-1863
-3766,-511,-1695
-3654,-607,-1455
-3486,-687,-1175
-3382,-743,-999
-3246,-799,-815
-3126,-815,-591
-2974,-847,-439
-2855,-911,-279
-2743,-943,-127
-2575,-967,47
-2439,-967,199
-2335,-951,359
-2183,-967,463
-2119,-943,615
-1975,-935,735
-1871,-911,783
-1775,-895,839
-1647,-831,959
-1567,-815,1023
-1431,-791,1135
-1311,-751,1199
-1231,-703,1279
-1103,-735,1303
-1015,-703,1327
-935,-639,1319
-855,-615,1351
-783,-615,1319
-695,-567,1359
-647,-543,1359
-583,-527,1375
-567,-511,1359
-503,-455,1367
-463,-423,1351
-415,-359,1343
-359,-279,1351
-367,-223,1391
-335,-183,1399
-295,-119,1407
-287,-55,1359
-247,0,1407
-191,47,1391
-167,111,1463
-79,167,1487
-63,191,1535
-23,263,1607
0,295,1631
0,311,1695
7,319,1735
7,319,1727
0,343,1815
-15,327,1823
-79,311,1911
-63,271,2023
-47,255,2087
-71,223,2087
-63,207,2143
-31,159,2199
-71,159,2255
-71,135,2295
-39,119,2327
-23,103,2359
0,87,2351
0,119,2399
23,71,2423
71,0,2487
