x,y,z
-887,-271,239
-879,-255,247
-895,-263,239
-871,-255,263
-855,-279,255
-887,-255,231
-871,-255,255
-903,-255,231
-879,-255,263
-895,-255,279
-927,-255,255
-919,-231,287
-935,-239,279
-935,-231,271
-959,-239,279
-967,-255,279
-999,-239,239
-999,-263,263
-1015,-255,263
-1055,-263,295
-1023,-271,295
-1047,-263,255
-1079,-271,263
-1055,-279,279
-1055,-279,287
-1071,-271,295
-1079,-271,271
-1087,-271,287
-1047,-287,303
-1135,-255,311
-1143,-255,303
-1159,-287,319
-1223,-263,311
-1271,-231,319
-1271,-231,359
-1303,-231,303
-1311,-223,351
-1351,-215,359
-1391,-215,319
-1415,-191,287
-1463,-167,255
-1487,-175,271
-1511,-167,247
-1535,-143,255
-1607,-183,199
-1591,-151,207
-1607,-199,183
-1631,-175,135
-1671,-183,103
-1703,-239,87
-1823,-271,71
-1903,-351,127
-1951,-375,159
-1975,-375,151
-1983,-351,135
-1975,-319,95
-1967,-295,71
-1999,-279,15
-1999,-295,-55
-2007,-303,-79
-1999,-327,-143
-1991,-335,-143
-1983,-399,-239
-1991,-423,-263
-1959,-479,-295
-1927,-511,-319
-1887,-527,-303
-1855,-527,-327
-1791,-567,-375
-1703,-623,-359
-1623,-631,-375
-1551,-655,-359
-1503,-655,-287
-1431,-631,-279
-1407,-655,-239
-1383,-663,-199
-1311,-647,-127
-1279,-655,-79
-1255,-663,-23
-1183,-615,55
-1151,-607,111
-1143,-567,143
-1087,-567,215
-1095,-543,231
-1071,-479,263
-1063,-463,319
-1023,-415,319
-1023,-375,367
-1015,-359,407
-1023,-319,447
-1015,-303,447
-1023,-263,463
-1023,-239,495
-1047,-207,455
-1055,-223,479
-1087,-151,487
-1087,-159,447
-1095,-127,503
-1103,-111,503
-1135,-111,495
-1167,-103,511
-1191,-71,519
-1207,-55,471
-1255,-63,527
-1255,-79,447
-1295,-79,479
-1287,-71,447
-1319,-95,431
-1319,-87,479
-1351,-119,447
-1359,-143,431
-1383,-127,407
-1391,-159,423
-1383,-183,423
-1407,-151,415
-1399,-159,351
-1407,-199,407
-1407,-199,383
-1415,-207,359
-1439,-215,415
-1439,-199,359
-1439,-223,343
-1439,-239,383
-1431,-255,391
-1383,-239,335
-1407,-255,391
-1399,-255,383
-1415,-279,375
-1399,-263,399
-1391,-311,391
-1359,-303,415
-1343,-303,447
-1327,-335,407
-1295,-343,415
-1295,-335,439
-1247,-343,407
-1263,-351,415
-1239,-327,447
-1223,-311,455
-1207,-279,455
-1199,-279,479
-1183,-271,479
-1175,-263,535
-1143,-295,511
-1119,-247,519
-1103,-71,535
-1063,-207,535
-1047,-239,559
-1007,-191,567
-983,-191,567
-975,-199,527
-935,-159,551
-903,-167,583
-887,-167,607
-863,-159,599
-839,-167,615
-807,-151,623
-775,-111,599
-783,-127,615
-759,-159,591
-727,-175,639
-735,-135,631
-727,-103,631
-735,-111,607
-687,-135,623
-671,-143,623
-631,-127,615
-615,-119,615
-647,-143,615
-591,-143,599
-607,-135,631
-583,-127,607
-583,-151,615
-559,-159,559
-519,-135,615
-527,-143,567
-527,-119,527
-511,-151,535
-479,-151,551
-479,-159,591
-479,-159,519
-519,-159,535
-559,-231,511
-599,-239,551
-631,-255,623
-663,-271,671
-663,-311,711
-639,-335,695
-663,-335,719
-647,-303,767
-647,-303,743
-639,-319,727
-887,-143,503
-927,-151,479
-903,-151,471
-1023,-151,455
-1031,-175,431
-1087,-175,455
-1127,-207,455
-1175,-199,471
-1199,-215,471
-1215,-231,471
-1215,-215,487
-1231,-255,511
-1223,-263,527
-1231,-279,511
-1215,-303,519
-1199,-303,511
-1223,-327,519
-1231,-303,519
-1239,-303,511
-1191,-311,487
-1183,-327,503
-1191,-351,471
-1191,-367,423
-1167,-383,431
-1159,-407,383
-1183,-383,407
-1183,-423,343
-1199,-455,503
-1167,-447,327
-1151,-415,335
-1159,-471,295
-1135,-455,287
-1143,-431,303
-1135,-423,303
-1095,-407,279
-1079,-407,279
-1071,-399,303
-1055,-399,311
-1079,-375,311
-1055,-335,303
-1039,-295,295
-1063,-271,343
-1023,-279,319
-1047,-247,335
-1015,-231,319
-999,-223,319
-999,-183,343
-1023,-191,311
-1007,-191,311
-983,-135,327
-975,-151,303
-999,-119,327
-1007,-167,311
-1015,-111,303
-1007,-103,327
-1023,-79,335
-1023,-87,311
-1023,-63,311
-1031,-71,351
-1039,-63,327
-1039,-47,311
-1039,-31,343
-1039,-15,327
-1039,-31,327
-1047,-39,271
-1031,-47,319
-1023,-31,343
-1023,-15,303
-1047,-47,287
-1047,-39,303
-1047,-55,287
-1063,-31,311
-1071,-31,263
-1055,-47,263
-1087,-63,255
-1055,-55,255
-1095,-23,247
-1135,-55,255
-1135,-79,239
-1159,-47,183
-1191,-47,183
-1215,-79,167
-1263,-119,159
-1255,-103,175
-1287,-119,159
-1279,-135,87
-1351,-159,95
-1351,-175,87
-1359,-191,63
-1415,-207,79
-1455,-223,55
-1471,-231,31
-1471,-231,15
-1463,-263,0
-1519,-287,0
