x,y,z
3414,2255,-1127
3582,2335,-863
3710,2375,-783
3758,2431,-735
3766,2423,-791
3782,2415,-887
3726,2487,-927
3790,2663,-815
3782,2799,-719
3774,2911,-567
3750,3030,-439
3582,3102,-239
3430,3134,-39
3182,3062,183
2919,2799,383
2599,2527,559
2399,2143,703
2111,1847,863
1855,1535,991
1663,1295,1111
1519,1143,1239
1399,951,1279
1327,815,1383
1231,647,1407
1127,559,1455
1023,391,1655
935,255,1495
831,183,1519
687,103,1559
583,79,1559
455,55,1503
367,39,1463
215,39,1407
79,95,1375
-55,119,1279
-223,167,1223
-351,215,1191
-511,247,1135
-671,239,1039
-831,239,999
-943,255,943
-1023,247,871
-1111,303,799
-1167,351,719
-1159,343,703
-1127,423,727
-1119,439,735
-1063,447,703
-1007,431,743
-935,367,719
-871,279,727
-751,295,767
-695,279,935
-639,191,767
-567,143,799
-535,71,815
-503,23,831
-447,0,783
-439,-31,759
-407,-63,751
-407,-39,743
-375,-31,703
-399,0,663
-415,0,679
-423,63,631
-431,87,599
-487,127,575
-511,135,495
-583,111,439
-623,167,375
-639,151,295
-639,207,255
-687,303,191
-735,455,71
-671,655,-71
-519,911,-287
-279,1287,-543
271,1863,-767
679,2231,-879
1215,2974,-911
1647,3582,-919
2247,4094,-1023
2647,4390,-1095
2871,4486,-1215
3126,4550,-1287
3334,4542,-1255
3470,4406,-1239
3582,4230,-1135
3646,3934,-1023
3678,3614,-927
3670,3158,-839
3574,2751,-759
3438,2303,-711
3254,1887,-711
3078,1535,-743
2871,1199,-759
2679,943,-783
2487,727,-775
2359,543,-807
2199,447,-831
2063,383,-839
1879,399,-879
1711,479,-927
1567,543,-991
1383,607,-1023
1207,671,-1055
991,711,-1095
847,759,-1135
647,767,-1143
455,703,-1191
303,631,-1231
159,655,-1143
15,519,-1151
-71,447,-1103
-143,343,-1047
-199,239,-967
-223,111,-887
-239,7,-791
-223,-127,-663
-223,-239,-607
-183,-311,-495
-191,-431,-423
-183,-527,-383
-183,-551,-279
-183,-591,-271
-167,-607,-255
-127,-591,-183
-87,-567,-183
-47,-567,-183
-39,-471,-191
7,-399,-175
0,-287,-191
55,-223,-183
55,-103,-231
47,7,-263
95,135,-343
95,255,-423
207,383,-407
343,559,-447
463,719,-471
599,1039,-391
783,1087,-455
863,1343,-375
1071,1535,-319
1223,1759,-255
1423,1959,-183
1591,2183,-71
1711,2327,23
1839,2351,127
1967,2359,191
2079,2327,199
2263,2255,175
2375,2247,143
2463,2279,87
2559,2327,79
2711,2415,159
2815,2487,239
2871,2543,383
2950,2471,583
2911,2343,735
2791,2103,839
2623,1767,887
2399,1367,951
2151,943,983
1887,519,943
1647,143,927
1439,-183,783
1183,-495,679
1047,-671,607
927,-799,543
863,-879,439
823,-887,415
767,-863,367
727,-783,351
